WKT,full_id,osm_id,osm_type,highway,lanes,maxspeed,name,oneway,old_name,surface,maxspeed_g,official_n,source_max,alt_name,nat_name
"MULTILINESTRING ((121.0238379 14.6923468,121.0236217 14.6923812,121.0234077 14.6924266,121.0230574 14.6925936,121.0228923 14.6926933,121.0226599 14.6928929,121.0223877 14.6931867,121.0222907 14.6932914,121.0222271 14.6933626))",w83145360,"83145360",way,trunk,"4","60",Mindanao Avenue,yes,,,"50",,,,
"MULTILINESTRING ((121.0243467 14.6922962,121.0238379 14.6923468))",w83145361,"83145361",way,trunk,"4","60",Tullahan Bridge,yes,,,"50",,,,
"MULTILINESTRING ((121.023801 14.6921756,121.0243544 14.6921318))",w83145362,"83145362",way,trunk,"4","60",Tullahan Bridge,yes,,,"50",,,,
"MULTILINESTRING ((121.0132902 14.6284817,121.0131548 14.62835))",w83415440,"83415440",way,trunk,"2","60",Quezon Avenue,yes,Don Mariano Marcos Avenue,asphalt,"50",,,,
"MULTILINESTRING ((121.0134824 14.6283301,121.013541 14.6283819,121.0140375 14.6288007,121.0147131 14.629425,121.014801 14.6295647,121.0148327 14.629656))",w83415441,"83415441",way,trunk,"3","60",Quezon Avenue,yes,Don Mariano Marcos Avenue,asphalt,"50",,,,
"MULTILINESTRING ((121.0513751 14.6184829,121.0516145 14.6179791,121.0517875 14.6175968,121.0521148 14.6168348))",w83598627,"83598627",way,trunk,"2","60",EDSA,yes,,,,Epifanio de los Santos Avenue,,,
"MULTILINESTRING ((121.0522718 14.6172556,121.0520618 14.6176941))",w83598629,"83598629",way,trunk,"2","60",EDSA,yes,,,,Epifanio de los Santos Avenue,,,
"MULTILINESTRING ((121.0512246 14.6490155,121.051299 14.6490894,121.0513896 14.6491785,121.0514755 14.6492688,121.0515504 14.6493561,121.0516213 14.6494419,121.0516905 14.6495323,121.0517572 14.6496417,121.0518334 14.6497791,121.0518624 14.6498406,121.0519097 14.6499626,121.051952 14.6501146,121.0519735 14.6502163,121.0519952 14.6503188))",w85238982,"85238982",way,trunk,"10","60",Elliptical Road,yes,,asphalt,,,,,
"MULTILINESTRING ((121.0475796 14.6495781,121.0476855 14.6494726,121.0477453 14.649406,121.0479191 14.649259,121.0480522 14.6491473,121.0481568 14.6490709))",w85238985,"85238985",way,trunk,"10","60",Elliptical Road,yes,,asphalt,,,,,
"MULTILINESTRING ((121.0493144 14.6485468,121.0495527 14.6485182,121.0496811 14.6485109,121.0499418 14.6485094,121.0500426 14.6485172,121.0501498 14.6485265,121.0502428 14.6485461,121.0503341 14.6485653,121.0505196 14.6486281,121.0505923 14.648654,121.050738 14.6487067))",w85238992,"85238992",way,trunk,"10","60",Elliptical Road,yes,,asphalt,,,,,
"MULTILINESTRING ((121.0133439 14.6282024,121.0134824 14.6283301))",w85241084,"85241084",way,trunk,"2","60",Quezon Avenue,yes,Don Mariano Marcos Avenue,asphalt,"50",,,,
